CareerArea_id,paired_CareerArea_id,SimScore,rank
2,2,100%,1
2,25,33%,2
2,26,31%,3
2,16,29%,4
2,13,27%,5
2,17,27%,6
2,5,25%,7
2,9,25%,8
2,10,24%,9
2,18,24%,10
2,6,23%,11
2,12,23%,12
2,4,22%,13
2,24,21%,14
2,1,20%,15
2,3,19%,16
2,22,19%,17
2,15,18%,18
2,11,17%,19
2,23,16%,20
2,8,15%,21
2,14,13%,22
2,21,13%,23
2,7,12%,24
2,19,9%,25
3,3,100%,1
3,1,45%,2
3,11,37%,3
3,18,35%,4
3,19,34%,5
3,14,33%,6
3,4,32%,7
3,17,31%,8
3,10,31%,9
3,24,30%,10
3,25,30%,11
3,13,28%,12
3,6,28%,13
3,23,27%,14
3,15,27%,15
3,16,26%,16
3,26,26%,17
3,12,26%,18
3,7,22%,19
3,9,20%,20
3,2,19%,21
3,5,18%,22
3,8,14%,23
3,22,12%,24
3,21,8%,25
4,4,100%,1
4,11,40%,2
4,7,33%,3
4,16,33%,4
4,3,32%,5
4,14,32%,6
4,26,32%,7
4,1,32%,8
4,24,31%,9
4,13,29%,10
4,17,29%,11
4,5,26%,12
4,18,25%,13
4,6,25%,14
4,9,25%,15
4,15,24%,16
4,12,24%,17
4,19,22%,18
4,23,22%,19
4,2,22%,20
4,25,22%,21
4,8,20%,22
4,22,18%,23
4,10,16%,24
4,21,6%,25
5,5,100%,1
5,9,39%,2
5,12,35%,3
5,16,28%,4
5,13,27%,5
5,4,26%,6
5,2,25%,7
5,14,25%,8
5,26,23%,9
5,22,21%,10
5,11,21%,11
5,21,21%,12
5,25,21%,13
5,24,20%,14
5,17,19%,15
5,7,19%,16
5,1,18%,17
5,3,18%,18
5,23,18%,19
5,6,15%,20
5,19,15%,21
5,8,14%,22
5,18,14%,23
5,15,13%,24
5,10,11%,25
6,6,100%,1
6,18,40%,2
6,10,39%,3
6,17,39%,4
6,26,29%,5
6,3,28%,6
6,16,26%,7
6,4,25%,8
6,11,25%,9
6,13,24%,10
6,24,24%,11
6,2,23%,12
6,15,23%,13
6,1,23%,14
6,23,22%,15
6,8,21%,16
6,25,20%,17
6,7,20%,18
6,12,19%,19
6,9,18%,20
6,14,18%,21
6,22,18%,22
6,21,16%,23
6,19,15%,24
6,5,15%,25
7,7,100%,1
7,13,33%,2
7,1,33%,3
7,4,33%,4
7,24,30%,5
7,11,30%,6
7,17,28%,7
7,12,27%,8
7,26,27%,9
7,14,25%,10
7,22,22%,11
7,3,22%,12
7,18,22%,13
7,6,20%,14
7,5,19%,15
7,19,18%,16
7,9,17%,17
7,8,17%,18
7,16,16%,19
7,15,15%,20
7,23,13%,21
7,2,12%,22
7,10,11%,23
7,25,10%,24
7,21,9%,25
8,8,100%,1
8,15,31%,2
8,19,30%,3
8,21,29%,4
8,10,27%,5
8,24,26%,6
8,14,23%,7
8,13,21%,8
8,6,21%,9
8,9,21%,10
8,25,21%,11
8,1,20%,12
8,22,20%,13
8,17,20%,14
8,4,20%,15
8,26,19%,16
8,12,18%,17
8,18,17%,18
8,7,17%,19
8,11,16%,20
8,16,16%,21
8,23,15%,22
8,2,15%,23
8,5,14%,24
8,3,14%,25
9,9,100%,1
9,5,39%,2
9,12,33%,3
9,14,31%,4
9,16,29%,5
9,21,28%,6
9,13,28%,7
9,2,25%,8
9,11,25%,9
9,4,25%,10
9,25,24%,11
9,17,22%,12
9,26,21%,13
9,8,21%,14
9,22,20%,15
9,3,20%,16
