Day,Completion
"20160527",1
"20160604",1
"20160605",1
"20160606",1
"20160607",1
"20160608",1
"20160609",1
"20160610",1
"20160612",1
"20160613",1
"20160615",1
"20160616",1
"20160617",1
"20160618",1
"20160621",1
"20160712",1
"20160713",1
"20160714",1
"20160715",1
"20160719",1
"20160720",1
"20160802",1
"20160803",1
"20160804",1
"20160809",1
"20160810",1
"20160811",1
"20160812",1
"20160815",1
"20160817",1
"20160818",1
"20160819",1
"20160821",1
"20160822",1
"20160823",1
"20160824",1
"20160825",1
"20160826",1
"20160829",1
"20160830",1
"20160831",1
"20160901",1
"20160904",1
"20160905",1
"20160906",1
"20160907",1
"20160909",1
"20160911",1
"20160912",1
"20160913",1
"20160914",1
"20160915",1
"20160916",1
"20160917",1
"20160919",1
"20160920",1
"20160921",1
"20160923",1
"20160924",1
"20160927",1
"20160928",1
"20160929",0.973
"20160930",0.948
"20161001",0.959
"20161002",0.9
"20161003",0.972
"20161004",0.9
"20161005",1
"20161006",0.889
"20161007",1
"20161008",1
"20161009",1
"20161010",1
"20161011",0.981
"20161012",1
"20161013",1
"20161014",1
"20161015",1
"20161016",1
"20161017",1
"20161018",1
"20161019",1
"20161020",1
"20161021",1
"20161022",1
"20161023",1
"20161024",1
"20161025",1
"20161026",1
"20161027",1
"20161028",1
"20161029",1
"20161030",1
"20161031",0.913
"20161101",0.949
"20161102",0.788
"20161103",0.987
"20161104",0.899
"20161105",0.855
"20161106",0.901
"20161107",0.947
"20161108",0.942
"20161109",0.889
"20161110",0.889
"20161111",0.846
"20161112",0.8
"20161113",1
"20161114",0.913
"20161115",0.848
"20161116",0.891
"20161117",0.863
"20161118",0.885
"20161119",0.818
"20161120",0.711
"20161121",0.917
"20161122",0.96
"20161123",0.961
"20161124",0.778
"20161125",0.75
"20161126",1
"20161127",0.667
"20161128",1
"20161129",1
"20161130",1
"20161201",0.97
"20161202",1
"20161203",1
"20161204",0.945
"20161205",0.988
"20161206",0.993
"20161207",0.995
"20161208",0.989
"20161209",1
"20161210",1
"20161211",0.857
"20161212",0.935
"20161213",0.944
"20161214",0.979
"20161215",0.821
"20161216",0.833
"20161217",1
"20161218",0.867
"20161219",0.889
"20161220",0.959
"20161221",1
"20161222",0.955
"20161223",1
"20161224",0
"20161226",1
"20161228",1
"20161229",0.9
"20170103",1
"20170104",1
"20170105",1
"20170106",1
"20170109",1
"20170110",1
"20170111",1
"20170112",1
"20170113",1
"20170116",1
"20170117",1
"20170118",0.855
"20170119",0.898
"20170120",0.927
"20170121",1
"20170122",0.885
"20170123",0.9
"20170124",0.955
"20170125",0.973
"20170126",0.94
"20170127",0.939
"20170128",1
"20170129",0.824
"20170130",0.935
"20170131",1
"20170201",1
"20170202",1
"20170203",1
"20170205",1
"20170206",1
"20170207",1
"20170208",1
"20170209",1
"20170210",0.5
"20170214",0.667
"20170215",0.981
"20170216",0.961
"20170217",0.978
"20170218",0.972
"20170219",0.875
"20170220",0.964
"20170221",0.913
"20170222",0.765
"20170223",1
"20170224",1
"20170225",1
"20170226",1
"20170227",1
"20170228",1
"20170301",0
"20170303",1
"20170308",0.9
"20170309",0.985
"20170310",0.979
"20170311",0.952
"20170312",1
"20170313",0.973
"20170314",1
"20170315",0.6
"20170316",1
"20170317",1
"20170318",1
"20170319",1
"20170320",0.981
"20170321",0.977
"20170322",0.97
"20170323",0.917
"20170324",1
"20170325",1
"20170326",1
"20170327",0.962
"20170328",1
"20170329",0.786
"20170330",1
"20170331",0.8
"20170401",0.5
"20170404",1
"20170405",0.898
"20170406",0.964
"20170407",0.948
"20170408",0.933
"20170409",0.892
"20170410",0.979
