id_number,channel,group_name,prov,city,comp_rate,quiz
aaamir,Corp-retail,CORPON04-ON Southeast,Ontario,Mississauga,0.981,92.23
aadina,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.968,98.81
aalaei,Corp-retail,CORPON02-ON East,Ontario,Toronto,1,92.45
aali,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.957,90.01
aalkasm,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,0.857,92.11
aalrsol,Care,Windsor,,,1,88.15
aanjum,Corp-retail,CORPON04-ON Southeast,Ontario,Mississauga,0.935,93.02
aardidon,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,0.917,84.19
aawrey,Care,Windsor,,,0.95,93.85
aazeem,Corp-retail,CORPON04-ON Southeast,Ontario,Mississauga,0.982,93.08
abajan,Care,Windsor,,,0.909,94.53
aball,Corp-retail,CORPON03-ON Central,Ontario,Barrie,0.9,97.5
abansal,Corp-retail,CORPON04-ON Southeast,Ontario,Mississauga,0.857,96.25
abarnes,Corp-retail,CORPON05-ON Southwest,Ontario,Guelph,0.846,91.49
abernard,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,1,97.5
abhutto,Corp-retail,CORPON04-ON Southeast,Ontario,Oakville,0.927,89.85
abindon,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,0.943,91.26
abitter,Care,Windsor,,,0.923,90.73
abryan,Corp-retail,CORPON05-ON Southwest,Ontario,Burlington,1,93.93
acabanaw,Care,Windsor,,,0.938,92.14
acardakovic,Corp-retail,CORPON05-ON Southwest,Ontario,Hamilton,0.846,97.46
acassat,Care,Windsor,,,0.933,93.15
achahine,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,0.909,94.17
achan,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.844,93.77
achan4,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.833,93.05
acharbonneau,Corp-retail,CORPON05-ON Southwest,Ontario,London,0.97,93.92
achatterjee,Corp-retail,CORPON03-ON Central,Ontario,Thornhill,0.4,100
achen,Corp-retail,CORPON03-ON Central,Ontario,Markham,0.5,100
acolangelo,Corp-retail,CORPON04-ON Southeast,Ontario,Toronto,0.833,97.5
adagher,Corp-retail,CORPON02-ON East,Ontario,Pickering,0.917,94.7
adang,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.842,95.83
adani,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,0.905,95.82
adarwish,Care,Windsor,,,1,94.29
adeacon,Corp-retail,CORPON04-ON Southeast,Ontario,St. Catharines,0.939,96.91
adeadman,Corp-retail,CORPON05-ON Southwest,Ontario,Kitchener,0.5,74
adelgado,Corp-retail,CORPON04-ON Southeast,Ontario,Mississauga,0.95,97.11
adhami,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.952,92.83
adoxtator,Care,Windsor,,,0.923,94.24
adresser,Care,Windsor,,,1,95.83
aebin,Corp-retail,CORPON04-ON Southeast,Ontario,St. Catharines,0.97,88.08
ael-gohary,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.857,95.59
afagarasanu,Corp-retail,CORPON03-ON Central,Ontario,Newmarket,0.966,89.96
afalkenberg,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,0.75,75
afarahani,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.938,97
afarooqi,Care,Windsor,,,0.941,96.41
agarcia,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.949,94.36
agauthier,Care,Windsor,,,0.944,97.69
ageyer,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,0.889,90.66
aghani,Corp-retail,CORPON04-ON Southeast,Ontario,Toronto,0.914,95.29
agilbert,Care,Windsor,,,0.955,90.91
agodhia,Corp-retail,CORPON05-ON Southwest,Ontario,Burlington,0.917,94.25
agupta,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.778,96.89
ahassan,Corp-retail,CORPON02-ON East,Ontario,Toronto,1,87.44
aizzard,Care,Windsor,,,0.75,76.68
ajack,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.857,84.9
ajain,Corp-retail,CORPON04-ON Southeast,Ontario,Brampton,0.833,89.42
ajavid,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.955,90.27
ajohnson,Care,Windsor,,,0.952,86.9
